train_type,batch_size,test_batch,clean_correct,dirty_correct
increasing,9,10,True,True
increasing,9,11,True,True
increasing,9,12,True,True
increasing,9,13,True,True
increasing,9,14,True,True
increasing,9,15,True,True
increasing,9,16,True,True
increasing,9,17,True,True
increasing,9,18,True,True
increasing,9,19,True,True
increasing,9,20,True,True
increasing,9,21,True,True
increasing,9,22,True,True
increasing,9,23,True,True
increasing,9,24,True,True
increasing,9,25,True,True
increasing,9,26,True,True
increasing,9,27,True,True
increasing,9,28,True,True
increasing,9,29,True,True
increasing,9,30,True,True
increasing,9,31,True,True
increasing,9,32,True,True
increasing,9,33,True,True
increasing,9,34,True,True
increasing,9,35,True,True
increasing,9,36,True,True
increasing,9,37,True,True
increasing,9,38,True,True
increasing,9,39,True,True
increasing,9,40,True,True
increasing,9,41,True,True
increasing,9,42,True,True
increasing,9,43,True,True
